NAME,PARTIES
DI MAGGIO Salvatore Tito,"Scelta Civica per l'Italia;Grandi Autonomie e Libertà;Conservatori, Riformisti italiani;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Noi con l'Italia"
DIRINDIN Nerina,Partito Democratico;Articolo 1 - Movimento democratico e progressista
DIVINA Sergio,Lega Nord e Autonomie
D'ONGHIA Angela,Scelta Civica per l'Italia;Grandi Autonomie e Libertà
DONNO Daniela,Movimento 5 Stelle
ENDRIZZI Giovanni,Movimento 5 Stelle
ESPOSITO Giuseppe,Il Popolo della Libertà;Nuovo Centrodestra;Misto;Grandi Autonomie e Libertà - Unione dei Democratici Cristiani e Democratici di Centro
ESPOSITO Lucia,Partito Democratico
ESPOSITO Stefano,Partito Democratico
FABBRI Camilla,Partito Democratico
FALANGA Ciro,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Alleanza Liberalpopolare-Autonomie"
FASANO Enzo,Il Popolo della Libertà
FASIOLO Laura,Partito Democratico
FATTORI Elena,Movimento 5 Stelle
FATTORINI Emma,Partito Democratico
FAVERO Nicoletta,Partito Democratico
FAZZONE Claudio,Il Popolo della Libertà
FEDELI Valeria,Partito Democratico
FERRARA Elena,Partito Democratico
FERRARA Mario,Misto;Grandi Autonomie e Libertà
FILIPPI Marco,Partito Democratico
FILIPPIN Rosanna,Partito Democratico
FINOCCHIARO Anna,Partito Democratico
FISSORE Elena,Partito Democratico
FLORIS Emilio,Il Popolo della Libertà
FORMIGONI Roberto,Il Popolo della Libertà;Nuovo Centrodestra
FORNARO Federico,Partito Democratico;Articolo 1 - Movimento democratico e progressista
FRAVEZZI Vittorio,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
FUCKSIA Serenella,"Movimento 5 Stelle;Misto;Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
GAETTI Luigi,Movimento 5 Stelle
GALIMBERTI Paolo,Il Popolo della Libertà
GAMBARO Adele,Movimento 5 Stelle;Misto;Alleanza Liberalpopolare-Autonomie
GARAVAGLIA Massimo,Lega Nord e Autonomie
GASPARRI Maurizio,Il Popolo della Libertà
GATTI Maria Grazia,Partito Democratico;Articolo 1 - Movimento democratico e progressista
GENTILE Antonio,Il Popolo della Libertà;Nuovo Centrodestra
GHEDINI Niccolo',Il Popolo della Libertà
GHEDINI Rita,Partito Democratico
GIACOBBE Francesco,Partito Democratico
GIANNINI Stefania,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Partito Democratico
GIARRUSSO Mario Michele,Movimento 5 Stelle
GIBIINO Vincenzo,Il Popolo della Libertà
GINETTI Nadia,Partito Democratico
GIOVANARDI Carlo,"Il Popolo della Libertà;Nuovo Centrodestra;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Federazione dei Verdi, Moderati, Movimento Base Italia, Idea);Federazione della Libertà (Idea-Popolo e Libertà, PLI)"
GIRO Francesco Maria,Il Popolo della Libertà
GIROTTO Gianni Pietro,Movimento 5 Stelle
GOTOR Miguel,Partito Democratico;Articolo 1 - Movimento democratico e progressista
GRANAIOLA Manuela,Partito Democratico;Articolo 1 - Movimento democratico e progressista
GRASSO Pietro,Partito Democratico;Misto
GUALDANI Marcello,Il Popolo della Libertà;Nuovo Centrodestra
GUERRA Maria Cecilia,Partito Democratico;Articolo 1 - Movimento democratico e progressista
GUERRIERI PALEOTTI Paolo,Partito Democratico
ICHINO Pietro,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Partito Democratico
IDEM Josefa,Partito Democratico
IURLARO Pietro,Il Popolo della Libertà;Alleanza Liberalpopolare-Autonomie
LAI Bachisio Silvio,Partito Democratico
LANGELLA Pietro,Il Popolo della Libertà;Grandi Autonomie e Libertà;Area Popolare (NCD-UDC);Alleanza Liberalpopolare-Autonomie
LANIECE Albert,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
LANZILLOTTA Linda,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Partito Democratico
LATORRE Nicola,Partito Democratico
LEPRI Stefano,Partito Democratico
LEZZI Barbara,Movimento 5 Stelle
LIUZZI Pietro,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Misto;Grandi Autonomie e Libertà (Grande Sud, Popolari per l'Italia, Moderati, Idea, Euro-Exit, M.P.L. - Movimento politico Libertas, Riscossa Italia);Noi con l'Italia"
LO GIUDICE Sergio,Partito Democratico
LO MORO Doris,Partito Democratico;Articolo 1 - Movimento democratico e progressista
LONGO Eva,"Il Popolo della Libertà;Conservatori, Riformisti italiani;Alleanza Liberalpopolare-Autonomie"
LONGO Fausto Guilherme,"Per le Autonomie (SVP, UV, PATT, UPT) - PSI"
LUCHERINI Carlo,Partito Democratico
LUCIDI Stefano,Movimento 5 Stelle
LUMIA Giuseppe,Partito Democratico
MALAN Lucio,Il Popolo della Libertà
MANASSERO Patrizia,Partito Democratico
MANCONI Luigi,Partito Democratico
MANCUSO Bruno,Il Popolo della Libertà;Nuovo Centrodestra
MANDELLI Andrea,Il Popolo della Libertà
MANGILI Giovanna,Misto;Movimento 5 Stelle
MANTOVANI Mario,Il Popolo della Libertà
MARAN Alessandro,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Partito Democratico
MARCUCCI Andrea,Partito Democratico
MARGIOTTA Salvatore,Partito Democratico;Misto;Area Popolare (NCD-UDC);Partito Democratico
MARIN Marco,Il Popolo della Libertà
MARINELLO Giuseppe Francesco Maria,Il Popolo della Libertà;Nuovo Centrodestra
MARINO Ignazio,Partito Democratico
MARINO Luigi,Scelta Civica per l'Italia;Area Popolare (NCD-UDC)
MARINO Mauro Maria,Partito Democratico
MARTELLI Carlo,Movimento 5 Stelle
MARTINI Claudio,Partito Democratico
MARTON Bruno,Movimento 5 Stelle
MASTRANGELI Marino Germano,Movimento 5 Stelle;Misto
MATTEOLI Altero,Il Popolo della Libertà
MATTESINI Donella,Partito Democratico
MATURANI Giuseppina,Partito Democratico
MAURO Giovanni,Misto;Grandi Autonomie e Libertà
MAURO Mario,Scelta Civica per l'Italia;Grandi Autonomie e Libertà;Forza Italia-Il Popolo della Libertà XVII Legislatura
MAZZONI Riccardo,Il Popolo della Libertà;Alleanza Liberalpopolare-Autonomie
MERLONI Maria Paola,Scelta Civica per l'Italia;Per le Autonomie (SVP-UV-PATT-UPT)-PSI-MAIE
MESSINA Alfredo,Il Popolo della Libertà
MICHELONI Claudio,Partito Democratico;Misto
MIGLIAVACCA Maurizio,Partito Democratico;Articolo 1 - Movimento democratico e progressista
MILO Antonio,"Il Popolo della Libertà;Grandi Autonomie e Libertà;Conservatori, Riformisti italiani;Alleanza Liberalpopolare-Autonomie (Movimento per le Autonomie)"
MINEO Corradino,Partito Democratico;Misto
MINNITI Marco,Partito Democratico
MINZOLINI Augusto,Il Popolo della Libertà
MIRABELLI Franco,Partito Democratico
MOLINARI Francesco,Movimento 5 Stelle;Misto
MONTEVECCHI Michela,Movimento 5 Stelle
MONTI Mario,Scelta Civica per l'Italia;Scelta Civica con Monti per l'Italia;Misto
MORGONI Mario,Partito Democratico
MORONESE Vilma,Movimento 5 Stelle
MORRA Nicola,Movimento 5 Stelle
MOSCARDELLI Claudio,Partito Democratico
MUCCHETTI Massimo,Partito Democratico
MUGNAI Franco,Forza Italia-Il Popolo della Libertà XVII Legislatura
